citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
90 FR 8757, 2025-02178,8759,https://www.federalregister.gov/documents/2025/02/03/2025-02178/prioritizing-military-excellence-and-readiness,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02178.pdf,Presidential Document,Executive Order,2/3/25,27/1/25,8757,Prioritizing Military Excellence and Readiness,,14183,
90 FR 8761, 2025-02180,8762,https://www.federalregister.gov/documents/2025/02/03/2025-02180/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02180.pdf,Presidential Document,Executive Order,2/3/25,27/1/25,8761,Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate,,14184,
90 FR 8763, 2025-02181,8765,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02181.pdf,Presidential Document,Executive Order,2/3/25,27/1/25,8763,Restoring America's Fighting Force,,14185,
90 FR 8767, 2025-02182,8769,https://www.federalregister.gov/documents/2025/02/03/2025-02182/the-iron-dome-for-america,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02182.pdf,Presidential Document,Executive Order,2/3/25,27/1/25,8767,The Iron Dome for America,,14186,
90 FR 8771, 2025-02194,8773,https://www.federalregister.gov/documents/2025/02/03/2025-02194/protecting-children-from-chemical-and-surgical-mutilation,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02194.pdf,Presidential Document,Executive Order,2/3/25,28/1/25,8771,Protecting Children From Chemical and Surgical Mutilation,,14187,
90 FR 8847, 2025-02230,8848,https://www.federalregister.gov/documents/2025/02/03/2025-02230/additional-measures-to-combat-anti-semitism,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02230.pdf,Presidential Document,Executive Order,2/3/25,29/1/25,8847,Additional Measures To Combat Anti-Semitism,,14188,
90 FR 8849, 2025-02231,8851,https://www.federalregister.gov/documents/2025/02/03/2025-02231/celebrating-americas-250th-birthday,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02231.pdf,Presidential Document,Executive Order,2/3/25,29/1/25,8849,Celebrating America's 250th Birthday,,14189,
90 FR 8853, 2025-02232,8857,https://www.federalregister.gov/documents/2025/02/03/2025-02232/ending-radical-indoctrination-in-k-12-schooling,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02232.pdf,Presidential Document,Executive Order,2/3/25,29/1/25,8853,Ending Radical Indoctrination in K-12 Schooling,,14190,
90 FR 8859, 2025-02233,8860,https://www.federalregister.gov/documents/2025/02/03/2025-02233/expanding-educational-freedom-and-opportunity-for-families,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02233.pdf,Presidential Document,Executive Order,2/3/25,29/1/25,8859,Expanding Educational Freedom and Opportunity for Families,,14191,
90 FR 8625, 2025-02095,8627,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02095.pdf,Presidential Document,Executive Order,01/31/2025,20/1/25,8625,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,"Reinstates: EO 13957, October 21, 2020
Revokes: EO 14003, January 22, 2021
",14171,
